,category,link
59,commit,https://github.com/ianchesal/dotfiles/commit/5239c62ccdb600f71d091f376c76036aa6b7e33b
60,commit,https://github.com/nazo6/nvim/commit/973271a44f52f7db1b5b129af8b37f6f7095c072
61,commit,https://github.com/refly-ai/refly/commit/37a0f66a923605a1d3a95a300f8f5d687d9cceff
62,commit,https://github.com/MicrosoftDocs/learn/commit/8d273b32c51aaee4768931a8ba473a44d0b6bf2e
63,commit,https://github.com/pulumi/examples/commit/45eeabec900da9f8d2446d36879887828560f086
64,commit,https://github.com/socfortress/CoPilot/commit/288d0f69647ad61cc892ac258bbc1da7152cd7ab
65,commit,https://github.com/pysan3/dotfiles/commit/e2b7e30828257253ec58d35ac448ec79af4601df
66,commit,https://github.com/Copilot-Language/copilot-verifier/commit/e8148f00d60004b38211737cc28e50b6b4f7ce82
67,commit,https://github.com/getappmap/vscode-appland/commit/6a5ef515b40da9a43bbbf67d9d39acd57bdbb6c2
68,commit,https://github.com/Gako358/neovim/commit/2637e1d97618f14a66aa916f67535b3320d6bfe7
69,commit,https://github.com/myme/dotfiles/commit/c3d1ccb2e13f1e32b1c9488b1e8c3752ce097e33
70,commit,https://github.com/genesis-ai-dev/codex-editor/commit/e62bd5f0594af91726794cdd5d3f57aa0a9970fa
71,commit,https://github.com/TwIStOy/dotvim/commit/cdd213463a4072b2eaa9ac81b77be33b1960d1be
72,commit,https://github.com/spring-projects/sts4/commit/64e708451489252c57d20b715594653ce45cde0f
73,commit,https://github.com/johnae/world/commit/6f7afefe2dbd54790ff096b0f5ce8a15e9beb43a
74,commit,https://github.com/aymanbagabas/dotfiles/commit/45e0ef594ff1bd54701a9f10dda499f9ec121c18
75,commit,https://github.com/refly-ai/refly/commit/6796a4fb3dc0e4619a8d9aacb504f19a6807abc0
76,commit,https://github.com/ianchesal/dotfiles/commit/6e6d68dcf1512ad50e30674562a562cdf35e7a63
77,commit,https://github.com/linode/manager/commit/8a771ca5481efe90f91b296cdaeabf1836936934
78,commit,https://github.com/loiccoyle/zsh-github-copilot/commit/77097e14fa58157574b21c6b9861f5db7dfc8a5d
79,commit,https://github.com/ryoppippi/dotfiles/commit/8c461138ea2dedb3acdc9d5fcccfa25acb935b1c
80,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/b0372b91b7c668f1b9c67463fa93a8f486304cb7
81,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/79476e95ce31e62632acb753e418e08e0068711e
82,commit,https://github.com/derekprior/dotfiles/commit/9496f2ae4537073bd55417a91b847d7f08e6d196
83,commit,https://github.com/MicrosoftDocs/learn/commit/a7daeff2d217e3a699d9fcc093b25a4147f56de8
84,commit,https://github.com/MicrosoftDocs/learn/commit/cbfc513e1fb77bdb8edf77d4180b08c2d69444a9
85,commit,https://github.com/Nitestack/dotfiles/commit/449ece182a3785e11eda56a752a61b73685f4960
86,commit,https://github.com/getappmap/appmap-js/commit/273d0a0ee2ab72b612eac02d7d87bbe3055da288
87,commit,https://github.com/getappmap/appmap-js/commit/1340bcf7fa1c4874196878604dbcaee70eb78a39
88,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/5a05ce0de39fd81a2dfcc79674df72e5e88286ef
89,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/9c1c3e6b982606b7cfc50fb8d28790ef941c2f48
90,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/5549867e8656b1f2890e242ada067522764260ca
91,commit,https://github.com/ARG-NCTU/oop-python-nycu/commit/05845edce20792e0873e167d138174aec06dab73
92,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/c0b0c7a1e562c27e3b29a29e5ed20f7d8acc82ed
93,commit,https://github.com/ttaulli/AI-Assisted-Programming-Book/commit/2d7dc11d80d2456b3a25c803eebe7bc23fa4fb14
94,commit,https://github.com/esmuellert/nvim-eslint/commit/5efa3680af6b494570a99b7b0f88d367d5836ea6
95,commit,https://github.com/Shopify/ruby-lsp/commit/91576cb7737bf39b935f3aa35cf1bae684103713
96,commit,https://github.com/MicrosoftDocs/learn/commit/d3d599bdb451574494ad152e056fdd2fac85ee39
97,commit,https://github.com/MicrosoftDocs/visualstudio-docs/commit/f701c68481247ab6869219d1262c4352454ea3d3
